"filename", "language", "C", "C++", "comment", "blank", "total"
"/home/kali/Desktop/cybersec/sem1/programowanie/Femsy/FemsyInC/engine/polynomial/Poly.h", "C++", 0, 33, 2, 7, 42
"/home/kali/Desktop/cybersec/sem1/programowanie/Femsy/FemsyInC/engine/polynomial/PolyAdd.c", "C", 35, 0, 0, 15, 50
"/home/kali/Desktop/cybersec/sem1/programowanie/Femsy/FemsyInC/engine/polynomial/PolyCompare.c", "C", 20, 0, 3, 3, 26
"/home/kali/Desktop/cybersec/sem1/programowanie/Femsy/FemsyInC/engine/polynomial/PolyCreate.c", "C", 29, 0, 0, 2, 31
"/home/kali/Desktop/cybersec/sem1/programowanie/Femsy/FemsyInC/engine/polynomial/PolyHelper.c", "C", 8, 0, 0, 1, 9
"/home/kali/Desktop/cybersec/sem1/programowanie/Femsy/FemsyInC/engine/polynomial/PolyHepler.h", "C++", 0, 5, 0, 1, 6
"/home/kali/Desktop/cybersec/sem1/programowanie/Femsy/FemsyInC/engine/polynomial/PolyMultiply.c", "C", 18, 0, 0, 4, 22
"/home/kali/Desktop/cybersec/sem1/programowanie/Femsy/FemsyInC/engine/polynomial/PolySubtract.c", "C", 0, 0, 0, 1, 1
"/home/kali/Desktop/cybersec/sem1/programowanie/Femsy/FemsyInC/main.c", "C", 0, 0, 0, 1, 1
"Total", "-", 110, 38, 5, 35, 188